IsApproved,scale_age,Gender,CallEndDate,Call,Division,CallDecisionYear,InstType,FirstProject,ApplicantId_Masked
TRUE,1.44793958855511,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,fbf60154-cbde-47e5-8f11-23e5e511c359
TRUE,-0.856954717536084,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,57ebed0e-d1b2-4288-9568-6b9a275eee26
TRUE,-1.09957517080884,Male,2013-10-01,2013 October,MINT,2014,Cantonal universities,TRUE,3c3f5aff-d635-425d-861c-1284d960c3d1
FALSE,1.80491559297199,Female,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,1a9e686c-01b5-47e5-ba2d-de5ba9f020e1
TRUE,0.234837322191324,Male,2013-10-01,2013 October,MINT,2014,Cantonal universities,FALSE,bd2602cc-adf8-4d68-9e7e-284d38f65829
TRUE,0.598768002100459,Female,2013-10-01,2013 October,MINT,2014,Cantonal universities,FALSE,97bda148-1892-49d8-b64f-b5f4153604fe
FALSE,-1.16286069067729,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,eee7a6bb-903d-4411-a945-fd527819c6ff
FALSE,-1.03063336616609,Female,2013-10-01,2013 October,LS,2014,Cantonal universities,TRUE,896f7d32-f922-4639-89b7-05247bb4cff7
TRUE,0.0271852299235324,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,a4ebb675-4416-413b-81ce-662986526bed
TRUE,0.477457775464081,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,deb3b178-0784-4210-a597-08c33808b40f
FALSE,-0.452851913621816,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,TRUE,a335793b-ce20-48fb-8f35-3dbe4fd6b93e
FALSE,1.34945847503556,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,e7c10f45-a1e8-43ce-95e8-6a9e679a5085
TRUE,0.688321852479547,Female,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,030de5f4-510e-4d6f-9aea-08dce110d991
TRUE,0.113527095554945,Male,2013-10-01,2013 October,MINT,2014,Cantonal universities,FALSE,39f4b4e7-043b-4381-b898-be83dbf89577
FALSE,0.234837322191324,Male,2013-10-01,2013 October,MINT,2014,Cantonal universities,FALSE,196e004c-337f-4598-b5fe-941ea04b8d45
FALSE,-1.5595426642109,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,TRUE,9b1f73d0-1cdd-4375-be27-fb14c0238b26
TRUE,-1.4273153396997,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,0566968f-5295-40c6-a351-b722aa9102ac
FALSE,0.0271852299235324,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,65ce91a8-5d97-4483-b2e5-d5b182ee48e6
TRUE,0.113527095554945,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,559dad1c-c56e-4e3e-ab57-ec4701972113
TRUE,-0.369496743610076,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,8158cf87-79c4-4fca-919c-ce17e1aafe41
TRUE,1.17775795225149,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,35214bed-a089-4961-9fcc-cf11934a59fa
TRUE,-0.954578026198219,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,TRUE,05a81d71-5892-4265-9091-2ae48bc9bd2b
TRUE,0.676031839675089,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,2ae181ac-9b1b-4688-9eb9-cd8c39c51924
TRUE,1.81187026846425,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,5461d91f-5327-4551-9422-b5570fb37cd5
TRUE,1.69056004182787,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,52655447-2eb8-4641-abc8-8bd976c85c61
TRUE,-0.735644490899706,Male,2013-10-01,2013 October,MINT,2014,ETH,TRUE,681d4daf-340b-4119-84d2-18b6d1bf572d
TRUE,1.93318049510062,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,8ed3fec7-33c1-4eee-8f6b-698e3ab6a119
TRUE,-0.735644490899706,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,13f20440-3d43-49d0-b832-c8c335edc728
TRUE,1.21723115052436,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,382852e3-70c0-4500-8ba3-04b7b3084ede
FALSE,1.08400890864597,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,20083fed-1f43-42bb-9c08-0bc21540049e
TRUE,1.56924981519149,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,be0a75b1-2645-4882-9525-b798027170e6
FALSE,-0.201988857333615,Female,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,ba6363b7-88dd-4b52-a007-66b38bcf6924
FALSE,-0.201988857333615,Female,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,ba6363b7-88dd-4b52-a007-66b38bcf6924
FALSE,-0.0765573291895145,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,851c427a-3c11-42c2-8fad-30da373bba78
TRUE,1.32662936191873,Male,2013-10-01,2013 October,MINT,2014,Cantonal universities,FALSE,7a7fee34-434b-495a-8fd4-d430d18fc433
TRUE,-0.614334264263327,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,78c41917-ce0e-4130-aea5-e62fccee8426
TRUE,-0.369496743610076,Female,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,b83c429a-e4b9-4396-b791-8aa663e47a23
TRUE,-0.201988857333615,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,TRUE,67ae5c39-463d-429b-bd6f-953a97d197d7
TRUE,0.550600311530988,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,6823577e-081e-405f-ad38-09e7c1fd9727
FALSE,-1.95622463774451,Female,2013-10-01,2013 October,LS,2014,Cantonal universities,TRUE,407e1992-4636-46d4-8810-eb9a8d1d1f8b
TRUE,-0.633951392632482,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,72dcc11d-b192-49bd-b3fc-b781a83b6b5a
TRUE,-0.954578026198219,Female,2013-10-01,2013 October,SSH,2014,UAS/UTE,FALSE,d5e829cc-0fd0-4cc3-94d9-4e9aa935a56f
TRUE,-2.22067928676692,Female,2013-10-01,2013 October,LS,2014,Cantonal universities,TRUE,562ed8a1-6409-410b-8757-5ab7b2227ff3
TRUE,0.423867203457141,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,6b856270-7916-4277-af25-14dd336ef0e6
FALSE,1.80491559297199,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,e7de45c6-349c-4dca-8bdb-673c71b5a8d0
TRUE,-0.10504209458767,Female,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,89fe55a6-b247-428e-aa89-00c62b5750ac
TRUE,0.0271852299235324,Female,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,ff85f619-5efd-413d-9e10-53ed7bd6c26d
TRUE,0.0271852299235324,Male,2013-10-01,2013 October,LS,2014,ETH,FALSE,11ab115c-decb-48e4-80fb-68536b278af1
TRUE,0.477457775464081,Male,2013-10-01,2013 October,MINT,2014,Cantonal universities,FALSE,425a804e-0b3c-4d24-ac20-a38289065e37
TRUE,1.34945847503556,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,2aec83a9-0716-4e28-95d8-a351231af13e
FALSE,-0.452851913621816,Female,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,c720309b-204a-48ec-95f1-438035d67f9e
TRUE,-0.369496743610076,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,6021cc1b-e3bb-4619-972e-3465da5ddc5a
FALSE,0.291639878945938,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,d0a7b49b-bdfc-4f22-b3f0-5e8b77177871
TRUE,1.08400890864597,Male,2013-10-01,2013 October,MINT,2014,Cantonal universities,FALSE,055e19e7-4baa-4ace-88e0-cbdd9f7e16e9
TRUE,0.676031839675089,Female,2013-10-01,2013 October,SSH,2014,Cantonal universities,TRUE,f31d18a6-a091-4eac-b72c-0d6762840945
TRUE,1.20531913528235,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,8d0dd3f7-2a03-4507-be7f-7b897b6d303f
FALSE,0.92689489596329,Male,2013-10-01,2013 October,SSH,2014,ETH,FALSE,f5b51ee9-91a6-40ca-a61e-0b1cb940581e
TRUE,0.598768002100459,Male,2013-10-01,2013 October,MINT,2014,Cantonal universities,TRUE,0c958e8b-5f89-4bc8-8c7e-f26f7f539fdd
FALSE,0.356147548827702,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,5d8007bb-b8e9-4988-8d7c-05cc00b53a3b
FALSE,0.159412554434735,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,58e21e09-557d-4069-87cd-376b2e3962fa
TRUE,-0.578283441765917,Female,2013-10-01,2013 October,SSH,2014,UAS/UTE,FALSE,8a18ad01-8304-42fd-83e4-dab4ee1207b7
FALSE,-0.703714969910017,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,TRUE,f1ff58d7-fedc-4520-89eb-7ac35f76250c
FALSE,-0.703714969910017,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,TRUE,f1ff58d7-fedc-4520-89eb-7ac35f76250c
TRUE,-0.766178717143685,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,c9529ce3-2d0e-4a76-b6e4-f57036315ad6
FALSE,-1.70612630399073,Male,2013-10-01,2013 October,MINT,2014,ETH,TRUE,028c9d6e-db17-44a7-9831-b8048f403b94
TRUE,1.05232642410739,Female,2013-10-01,2013 October,SSH,2014,UAS/UTE,FALSE,96c21e01-2bd1-4c7d-8394-5c90bf7c00cc
FALSE,-0.856954717536084,Female,2013-10-01,2013 October,MINT,2014,Cantonal universities,FALSE,038fb84b-96d2-4e87-942d-f98485e5a1d8
FALSE,-1.4273153396997,Female,2013-10-01,2013 October,LS,2014,Cantonal universities,TRUE,1e27aebf-4c53-4f65-a8b6-8440ca537b89
TRUE,1.42862100853969,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,7e455654-7ca5-4130-aa20-5af193d818e3
FALSE,0.477457775464081,Male,2013-10-01,2013 October,MINT,2014,Other,FALSE,0aaeb5cf-ddab-4d89-96bb-068a6982e2e1
FALSE,0.556094527968344,Female,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,5b7119ad-29f0-4118-b74e-e3c8120822ce
TRUE,-0.452851913621816,Female,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,0fc0890f-8064-415f-a283-dcc82b496591
TRUE,0.598768002100459,Male,2013-10-01,2013 October,MINT,2014,Cantonal universities,FALSE,da14d932-9488-4ba1-8818-b95ad3cc545c
FALSE,0.174305727098687,Male,2013-10-01,2013 October,SSH,2014,ETH,FALSE,502f12c2-e847-4af3-9bf7-58a6daf3408b
FALSE,-0.250403584354191,Male,2013-10-01,2013 October,MINT,2014,ETH,TRUE,7da44e56-896d-4bfc-b65f-a8d204c92169
TRUE,0.425168783386888,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,fb52c63a-785d-48c0-b9b4-b17ad9da411a
TRUE,0.952776501501953,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,e535db4d-b4b2-4e60-bee7-a6cd1e72adf3
FALSE,-0.0765573291895145,Female,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,da9cef22-cea7-435f-b308-ee329eafcb04
FALSE,0.676031839675089,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,8acad6fc-0d9f-4469-bd6c-90e06c0f0fcf
TRUE,0.425168783386888,Male,2013-10-01,2013 October,SSH,2014,Other,FALSE,26e0d483-5b6c-4415-81b3-2f99a85690a2
TRUE,-0.37171381099057,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,f2e29012-7e02-4f46-8dcb-e3cdb17c301d
FALSE,0.0271852299235324,Male,2013-10-01,2013 October,LS,2014,UAS/UTE,FALSE,165f87e1-28f1-4aea-8748-04105904d6f2
TRUE,0.556094527968344,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,ca93f2e3-fec9-4bbb-8a31-c6f1229cb01c
TRUE,-1.83259872320692,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,TRUE,eaf5461f-150d-48d9-abbc-f160cb52c288
FALSE,-0.369496743610076,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,d9fbf34d-5651-4c18-be49-0c4b0ffc1956
FALSE,-2.19136721053625,Female,2013-10-01,2013 October,MINT,2014,ETH,TRUE,16527542-a4ef-4e56-8733-6779d0164a8a
FALSE,-0.237269419098873,Female,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,0a706926-2483-4d85-82a1-61d79ec0f8c1
TRUE,-0.369496743610076,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,1d5f558c-42da-40c9-9587-0d246f34f09c
FALSE,-1.5595426642109,Female,2013-10-01,2013 October,LS,2014,Other,TRUE,c346afaf-1d87-47d6-9e4b-3362b0e42b8e
FALSE,0.0271852299235324,Male,2013-10-01,2013 October,LS,2014,Other,FALSE,d916a698-e2ea-452a-ad3a-62ec56fccc3c
FALSE,-0.856954717536084,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,274259cc-d61a-4819-8c75-ed6926b1331e
TRUE,1.93318049510062,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,9b8b0700-1ba0-42bf-b7f9-6967924cb429
TRUE,0.550600311530988,Female,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,d8972ea4-85b3-45ae-91ce-83910c776a6b
TRUE,0.550600311530988,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,1c16f84a-3ccc-4002-8911-889836f1ca03
FALSE,0.234837322191324,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,2f9fa2f5-9e0f-4e39-8142-043159f98bd9
TRUE,-0.633951392632482,Male,2013-10-01,2013 October,LS,2014,ETH,FALSE,7b6f6082-4d50-4e12-9456-6bc7c8209083
TRUE,-0.703714969910017,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,b9427059-bc5a-4a24-a1d1-8a8e312e13df
TRUE,0.676031839675089,Male,2013-10-01,2013 October,SSH,2014,ETH,FALSE,a4508caa-1999-4b46-8993-1e123d17ec64
FALSE,0.92689489596329,Male,2013-10-01,2013 October,SSH,2014,ETH,FALSE,f5b51ee9-91a6-40ca-a61e-0b1cb940581e
TRUE,-0.369496743610076,Male,2013-10-01,2013 October,LS,2014,Other,FALSE,432e10e5-a6d2-418f-8f3c-c48a929fde66
FALSE,-0.0765573291895145,Male,2013-10-01,2013 October,SSH,2014,UAS/UTE,FALSE,af9b3a9b-b58e-4f49-9df9-68518d65c318
TRUE,-1.82399731323331,Female,2013-10-01,2013 October,LS,2014,ETH,FALSE,1aa27ed3-dacb-4dec-b60c-77674276d5ff
FALSE,-1.20544108248642,Female,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,3cf37f14-b1f8-48e5-b0a3-e7b0eaa0d2a9
FALSE,-0.0765573291895145,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,8e5c6aae-a3af-47ae-bc78-c070f3b932c3
FALSE,1.81187026846425,Male,2013-10-01,2013 October,MINT,2014,ETH,FALSE,52225669-5f3f-4642-97f4-7a7500cf0b1f
TRUE,-1.70716719506282,Female,2013-10-01,2013 October,SSH,2014,Cantonal universities,TRUE,1d84de3c-d5e8-4e00-9e18-8c5c27c53b49
FALSE,-0.327420385477716,Male,2013-10-01,2013 October,SSH,2014,UAS/UTE,FALSE,03ec1815-2da9-4dd8-b0d4-ba05ec72b642
TRUE,0.82054917699075,Female,2013-10-01,2013 October,LS,2014,Other,FALSE,edfdbf3a-34e9-4489-a05d-50bf60775a9d
TRUE,1.67948406482789,Male,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,3082d0bf-b9c4-4ddb-a487-08d4dc6702a5
FALSE,-1.2950880151885,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,284da68e-9598-466a-831b-2a6f9a74d83d
TRUE,-1.20544108248642,Female,2013-10-01,2013 October,SSH,2014,Cantonal universities,FALSE,3cf37f14-b1f8-48e5-b0a3-e7b0eaa0d2a9
TRUE,1.34945847503556,Male,2013-10-01,2013 October,LS,2014,Cantonal universities,FALSE,ec27fe59-6780-4a69-a2f8-510fc0fcd9ec
